,Micro,Macro
Average F1,0.5873676146252822,0.6270568827056536
Average Precision,0.6823778944048982,0.711208248198989
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.14581341967411016,0.1471013982177372
F1,0.5753749013417522,0.5774310903654057
Precision,0.661524500907441,0.7037999638407761
Recall,0.5090782122905028,0.4895341311937827
