,Micro,Macro
Average F1,0.5703764675593542,0.6204490098744803
Average Precision,0.6640938312108102,0.7211004981529672
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.1425411283393004,0.14042962992977184
F1,0.5571315996847911,0.561197991835517
Precision,0.6392405063291139,0.7063999406871153
Recall,0.4937150837988827,0.4655112124763736
