,Micro,Macro
Average F1,0.5541115742803667,0.5867457675304119
Average Precision,0.6061598218231632,0.6485820017389409
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.16828792505528617,0.16577850988224627
F1,0.5406006674082313,0.5244713215133843
Precision,0.5762845849802372,0.6086751979016792
Recall,0.5090782122905028,0.46073362187052214
