,Micro,Macro
Average F1,0.5782161162013671,0.6177650951153005
Average Precision,0.6853129425985176,0.713538226177115
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.14674283105852545,0.16013654237988292
F1,0.5656890317396545,0.5562693611514604
Precision,0.6660359508041628,0.6763459265788109
Recall,0.49162011173184356,0.47240066707266853
