,Micro,Macro
Average F1,0.5001947778453198,0.542971686173891
Average Precision,0.5329714186339,0.5820629256234833
Average Recall,0.5,0.5
F1 Standard Dev,0.16206386041344573,0.16924141551571667
F1,0.4833880978459291,0.4564612392712523
Precision,0.5065034429992349,0.4947041868044268
Recall,0.4622905027932961,0.42370672742633014
