,Micro,Macro
Average F1,0.5668048125212631,0.6253352073097616
Average Precision,0.648277268137376,0.7216036069717727
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.1430147949841005,0.1487942710441304
F1,0.5560261840585291,0.5691264971582277
Precision,0.6197424892703862,0.6816717964636798
Recall,0.5041899441340782,0.48847787815147264
