,Micro,Macro
Average F1,0.6070051270180361,0.6491949309163884
Average Precision,0.7002830253045251,0.7465306690942131
Average Recall,0.5,0.5
F1 Standard Dev,0.13427114332066153,0.14407491181770418
F1,0.5938967136150235,0.5752010253132781
Precision,0.6752669039145908,0.695739864007944
Recall,0.5300279329608939,0.49026182087527664
