,Micro,Macro
Average F1,0.5429238667579231,0.5768534609147826
Average Precision,0.5810659076908127,0.6183735227903518
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.15411589233486622,0.1581924425877549
F1,0.5292196007259529,0.560220542008647
Precision,0.5510204081632653,0.6190056702304069
Recall,0.5090782122905028,0.5116323397644612
