,Micro,Macro
Average F1,0.5918446764055266,0.6285320269356971
Average Precision,0.6953689522689637,0.7346708087294507
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.15215012891943572,0.1700427624564014
F1,0.5797216699801193,0.5302103804586272
Precision,0.6731301939058172,0.6762931635500693
Recall,0.5090782122905028,0.43602643901714366
