,Micro,Macro
Average F1,0.5460064551094383,0.5805522665832213
Average Precision,0.580495008724283,0.6190660931476477
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.1493546909104781,0.15832800863862873
F1,0.5322290241267554,0.5577745169081292
Precision,0.5494423791821561,0.6011683688507624
Recall,0.5160614525139665,0.5202234721474039
