,Micro,Macro
Average F1,0.5607265734431954,0.5983775583856459
Average Precision,0.6174596055066359,0.666215645922436
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.1430264702459826,0.15011425855482438
F1,0.5482309124767226,0.5765384922188482
Precision,0.587390263367917,0.682192102531924
Recall,0.5139664804469274,0.49922211898199526
