,Micro,Macro
Average F1,0.5885492904060915,0.6217338299646865
Average Precision,0.6958615152084937,0.7198089507657408
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.14897538679745534,0.1560945538168188
F1,0.5745192307692308,0.5602702517814273
Precision,0.6738721804511278,0.6900192656974642
Recall,0.5006983240223464,0.47159334819422905
