,Micro,Macro
Average F1,0.6028701174992103,0.6567653560698808
Average Precision,0.6944408035840262,0.7432243065576398
Average Recall,0.42857142857142855,0.42857142857142855
F1 Standard Dev,0.1420200609211214,0.1549815638928449
F1,0.5891472868217054,0.5926097609357508
Precision,0.662020905923345,0.6962758686103698
Recall,0.5307262569832403,0.5158122567323842
